,Explorer_Rank,Builder_Rank,Director_Rank,Negotiator_Rank,Secure_attachment,Anxious-preoccupied_attachment,Fearful-avoidant_attachment,Dismissive–avoidant_attachment,FFM_Extraversion,FFM_Agreeableness,FFM_Concientiousness,FFM_Neurotism,FFM_Openess,Machiavellianism,Narcissism,Psychopathy,Dark_Triad_Compounded,RTB-Final_Score,Ambiguous_stimuli_in_general_(G),Complex_stimuli_(C),Uncertain_stimuli_(U),New/unfamiliar/novel_stimuli_(N),Insoluble/illogical/irreducible/internally_inconsistent_stimuli_(I),TFA_SUM,TFA_(Tolerance_for_Ambiguity)_Score,Self_Efficacy,Self-Discipline,Tolerance,Absorption,Appraisal,Regulation,Distress_Tolrance_Final,Creativity_bricolage,Pressure_stress,Action_persistence,Improvisation_capacity_Final,Creativity_Compound_Score_(IPIP),Locus_of_Control,Self-emotion_appraisal_(SEA),Others’_emotion_appraisal_(OEA),Use_of_emotion_(UOE),Regulation_of_emotion_(ROE),ESI_Compund_Score,Social_Desirabilty_Score,ERM-__Physical_Endurance,TMM-_Physical_Tempo,SS-_Risk_Seeking,ERS-_Social_Endurance,TMS-_Social_Tempo,EMP-_Empathy,ERI-_Intellectual_Endurance,PL-_Plasticity,PRO-_Probab_thinking,SLF-_Self-confidence,IMP-__Impulsivity,NEU-_Neuroticism,CNTL-_Social_desirability_tendency_for_STQ-77_(15-20_demonstrate_high_Social_Desirablity_and_may_be_discarded_at_your_discression),V_STD-_Self-direction_Thought,V_SDA-_Self-direction_Action,V_ST-_Stimulation,V_HE-_Hedonism,V_AC-_Achievement,V_POR-_Power_Dominance,V_POD-_Power_Resources,V_FAC-_Face,V_SEP-_Security_Personal,V_SES-_Security_Societal,V_TR-_Tradition,V_COR-_Conformity-Rules,V_COI-_Conformity-Interpersonal,V_HU-_Humility,V_UNN-_Universalism-Nature,V_UNC-_Universalism-Concern,V_UNT-_Universalism-Tolerance,V_BEC-_Benevolence_–Care,V_BED-_Benevolence-Dependability
Explorer_Rank,1.0,-0.051633134331913785,0.4583185788683585,0.3496696927830604,0.31901893057642644,-0.25033103348929736,-0.09325042832166387,-0.23483393240605616,0.3419348859134002,0.12409192243379047,0.04140675278729928,-0.35319919259759647,0.3465118245973223,-0.029832386819609306,0.03641944894621261,0.04567765240612991,0.024334269420691418,0.4690865760818956,0.39307633586481666,0.37917774794047804,0.3262301426515521,0.5805899664244522,0.36826852302753854,0.5179087105213238,0.5179245643365098,0.4025304746821167,-0.03579339439033766,0.18479498263611754,0.20736599080156082,0.2512935758527691,0.2527870417578502,0.2729243057388399,0.5219619853167802,0.4809503133609669,0.4387688617232423,0.6115990878625789,0.478922458401076,-0.010970838314740015,0.12146276648641897,0.3053734083343378,0.3232083132048122,0.3269486457431277,0.36990874971854865,0.1741852653702456,0.2906087368811813,0.37702897114852707,0.4266782538929098,0.44519696675107245,0.4364173794123812,0.15211134229337958,0.2550720184264597,0.41908948726815426,0.2610892931097235,0.3643721041011281,0.12514452839276463,-0.32776994741721543,0.09015892464350121,0.19151336199876537,0.04103350094896264,0.5180799322151635,0.24069221391667134,0.13687404645501397,0.015698998523989836,0.1323524617129027,0.06174521899426417,-0.16068553413433367,0.0835158690241653,0.029586004163865556,-0.20547681910917973,-0.1382767782821085,-0.08400526484776501,0.21147747568710615,0.15174004660423404,0.16296552122352542,0.10574599841321969,-0.04386358066105748
Builder_Rank,-0.051633134331913785,1.0,0.2630225510359428,0.21420765613230813,0.013892228344370186,-0.0633556099603011,-0.14071581586863532,0.03405190101070941,0.1224257110913874,0.0363038202980717,0.3270081452096515,-0.028520747539759285,0.0053660762441026634,-0.30201623032529207,-0.2541197928901323,-0.2820458362287345,-0.36555632347357997,-0.37176900022015763,-0.1556614148615137,-0.14222820516299808,-0.16771355284546313,-0.22961162692794473,-0.1349151679393719,-0.20438666087045806,-0.20439891045330277,0.016019996442147206,0.3026555547302072,-0.05533290994380764,-0.11680383521704263,-0.09097334580381901,0.041109136981909385,-0.0724554641840782,-0.2086247990872854,-0.23660117027965108,0.18307395615344396,-0.129432468657311,-0.003397504240161747,0.19349743381388718,0.16623631256980212,0.10642718900574641,0.22668617734862526,0.06582164147666449,0.1883220512091666,0.24289791431270646,0.1138007829607881,0.031161526531738135,-0.2337252048760242,-0.0387747848578985,0.023069385581692324,-0.00953609793147071,0.19177861122374926,-0.0736913961367987,0.026770623450367896,-0.02560571352480334,-0.04199856614035895,0.2448397668147799,0.013141427558337523,0.19452407985498804,0.32511283479491815,0.0441038407352241,0.19982805838670942,0.21305450353935876,-0.026089684789219983,0.01745592558561683,0.28025494549648283,0.2733772821494597,0.29705120874591984,0.3356426467493219,0.36207379460627653,0.29121809233941,0.2194207635335489,0.2043127778199707,0.12478267641958778,0.11010913621973409,0.37733693464664775,0.42971020388896164
Director_Rank,0.4583185788683585,0.2630225510359428,1.0,0.19114611168066686,0.12106320189523773,-0.04720702353946672,-0.08325253192454074,0.054980789952438436,0.14127760621027366,-0.0664650069198332,0.07820343617836464,-0.291575829233291,0.2171454369200312,-0.06701541087210242,-0.037670248356346754,0.08786980041966677,-0.001938080792985527,0.27156343013777084,0.35741731482110073,0.3438411223009238,0.3106412629561004,0.2212405928109177,0.21526366868620028,0.37392193572260274,0.3738930247988832,0.39331500199681274,0.08505403446102061,0.12581111100827183,0.01307534264772664,-0.05582356025015693,0.14041178975243873,0.04991204642934523,0.39068927705658446,0.3080898075728135,0.48032843140824594,0.49340316579854987,0.4847561818919137,0.08241532581452025,0.16758296953488866,0.32135875082772525,0.3501840958736408,0.3634517438239353,0.4124711674922455,0.11249353789270039,0.2404029243094966,0.339153441831939,0.21101252281687702,0.128174408233431,0.43159700678582164,0.025310038821843444,0.5042073539383424,0.294978127249242,0.4330500107658857,0.2495863830658249,0.0826852198455462,-0.06607431228564592,-0.01680965142717051,0.3751738105375245,0.2994747647309017,0.276393947612025,0.2092569792570107,0.21872617849053028,0.245304925363785,0.23176215026196748,0.10088359580985094,0.06263503851506401,0.11017098284786334,0.012350179518161983,-0.020611797960553156,-0.09272480306537843,0.08999171735023596,0.25751250192390196,0.10579712791537897,0.20647237723372017,0.16917435324580313,0.1757795373874712
Negotiator_Rank,0.3496696927830604,0.21420765613230813,0.19114611168066686,1.0,0.053364413515397675,-0.029887079319233383,0.05984015707798406,-0.1919490682861856,0.08516938813162868,0.004214389523268348,-0.08672494612380897,0.05005724230211809,0.40161783991556416,-0.11936516420104094,0.08557168946165444,-0.3701707255414021,-0.165697829058672,0.017830957701478387,-0.11193793055024953,0.07733266854423178,-0.039247362949523586,0.1712367866891543,-0.08934945425999127,-0.03127401803410736,-0.03127448534043928,0.13669363502162038,-0.15876913277722782,0.10899512274407218,0.11657242849482492,0.1408240265800057,0.09706155291117473,0.14249833337688148,0.2928470759843132,0.03010992226215066,-0.0840682079209907,0.12590071383850474,0.3297144379360698,0.14174026276203883,0.06602643041634527,0.3414114093474379,0.07083179766845446,-0.16584873694219945,0.0920071414573699,-0.042572133925352106,-0.1862815550807182,-0.06903025148506374,0.2141356682869321,0.03465025917729763,0.02464880204908421,0.17454529150432896,-0.005807076415877448,-0.055612677413599765,0.1567952779843129,-0.03751126036284744,0.23844318732365705,0.041531666959757164,-0.23080105002065146,0.11880536133686524,0.04890538289708914,0.22695529454896873,0.09806639584974781,0.09729795043161084,-0.08405783332332496,-0.15433462962355032,0.0013539178297378273,-0.06377819285912567,0.09823626669911849,-0.0971783693412819,-0.1350671997956136,0.0592215082122036,0.027552839243940277,0.16471243490118037,0.08324442659113056,0.09761124971544377,0.11235711207000085,0.011637074973821177
Secure_attachment,0.31901893057642644,0.013892228344370186,0.12106320189523773,0.053364413515397675,1.0,-0.5518857801741194,-0.33516247038735625,-0.21987202505692,0.41985487365317636,0.2451328435625009,0.05364655068305466,-0.214508001147029,0.075481463658606,-0.01992850013005571,0.09612921944709776,-0.15118185658754257,-0.03434961685859637,0.20707099128204745,0.3212756055451888,0.5268687496468429,0.27023466746584723,0.22096520534973269,0.41363146722601135,0.45826460313081174,0.45824018027800817,0.3221039539369205,0.06715348767198265,0.06288589306232896,0.07929492089549109,0.012843900297406598,0.10359495004285095,0.07091746582954883,0.1945748135953907,0.19009222254224112,0.23070475997506326,0.2571145077447669,0.3288950884557741,-0.10968679670780249,0.16832348594645297,0.15298727633054895,0.23269326447207533,0.17984948672235468,0.24911302337913557,0.2211150998660796,0.024863889716218012,-0.07956320571013831,-0.007510961726962223,0.3634496926680115,0.27459737874742496,0.061610208907507485,0.23775093917145473,0.15195522145987864,0.18805912387740537,0.11441975154002629,-0.2083346956717394,-0.2776278111049034,0.2875330364738874,0.043032385150691,-0.028981693675721766,-0.009824024146302799,-0.03054240762798304,0.1223211849457455,-0.12324604039580771,0.037542211832593333,-0.1923159972601622,-0.1557735725520387,0.03331180075706304,-0.09883737946395034,-0.006025453726179674,-0.16348405538092659,-0.14740900521859265,-0.04332157952612932,0.11999104330782925,0.14175907225581033,0.021802656419780676,0.016574443059209205
Anxious-preoccupied_attachment,-0.25033103348929736,-0.0633556099603011,-0.04720702353946672,-0.029887079319233383,-0.5518857801741194,1.0,0.1446451017474448,0.09971933947476594,-0.34816022290891907,-0.28030887588105907,0.05285395737160218,0.1534314663028743,-0.07752866291452645,0.030636836059065843,-0.04872541868039197,0.08719591047310994,0.025775281802918992,-0.15016351088282262,-0.25455378599463657,-0.283543977580215,-0.2894077666108513,-0.14521285604727627,-0.24795292297191318,-0.31150157074890983,-0.311486750001514,-0.22749991050631868,0.0702376290161718,0.05459979331092399,-0.012470044317606784,0.03411472793784073,-0.015972314672827944,0.019366229433372385,-0.11876392116278331,-0.1435791937671012,-0.22428274024834627,-0.19874126735674047,-0.07359578165650044,0.06744570558678656,-0.09274755902007349,-0.06384017955954194,-0.07836694198835482,-0.13964751060068084,-0.12904264031784696,-0.11021421947166037,-0.0408736180453601,0.041659199808592166,-0.057947759299276376,-0.2781156380888503,-0.15481209183467054,-0.011359175211791736,-0.018775950020563658,-0.13606757758946667,-0.06122898363671928,-0.18825270199205962,0.04747876556280281,0.17826547172016394,-0.13739638872576398,-0.008525597933528003,-0.023914912776534163,0.014197045386645958,-0.016627173694495147,-0.11806873859879581,0.02627865382655394,-0.044697644398166494,-0.00019778608205347302,0.052060144638405755,-0.08398745203596834,0.13653962881772397,0.0433722886228171,0.07744053957393943,0.15353347084280852,-0.09662299793945327,-0.09466658241801501,-0.0032602579311295163,-0.10938950407604155,-0.042339333767558225
Fearful-avoidant_attachment,-0.09325042832166387,-0.14071581586863532,-0.08325253192454074,0.05984015707798406,-0.33516247038735625,0.1446451017474448,1.0,-0.1632990683398708,-0.39342030073188755,-0.13892805140808112,-0.16510564380368148,0.20109280994236442,-0.10510063563863038,0.18689119293787443,0.143916922317948,0.138738786657946,0.20471395582705015,-0.1680199576094411,-0.15140259145187335,-0.08303976752551716,-0.15637933962434297,-0.08182336876452315,-0.12881696089566866,-0.1580351697451286,-0.15798173685681452,-0.34360660794836667,-0.16040372332219321,-0.09166578968173629,-0.07994853200956968,-0.12766484639142234,-0.2095070567873196,-0.15249902273404894,-0.21697761691493953,-0.1050442292808095,-0.343691467897118,-0.2762888120991911,-0.18856187410307187,0.06318400555148923,-0.07474988663382866,-0.08374607679130862,-0.26701928323499263,-0.3638197641846886,-0.2787444814503853,-0.23850670079799416,0.11125890653977925,0.1696845753139664,0.2632226638720284,-0.18268380938867762,-0.27779238834597203,0.13284985118302767,-0.1951985070390772,-0.017861526995620002,0.05147418863597711,-0.09860414054505078,0.37601426885796435,0.22964829133258688,-0.2581690577394656,-0.05929063426278621,-0.03262973107273563,0.10283311501213462,-0.0011806419559198889,0.011160956877868052,-0.025099968258646306,0.05973652123330069,-0.009728766770016857,0.001193065056453364,-0.10827776885425308,-0.17863669712307179,-0.1809493993131218,0.0283958296804389,0.061743031686022624,0.04591369916519287,-0.03763111141377792,-0.021666053139736085,-0.057312614360302584,-0.07589163627289901
Dismissive–avoidant_attachment,-0.23483393240605616,0.03405190101070941,0.054980789952438436,-0.1919490682861856,-0.21987202505692,0.09971933947476594,-0.1632990683398708,1.0,-0.21481399282053792,-0.1669455704556991,-0.07980158082731664,-0.0725863304029895,0.07646721256073269,-0.030932214899444085,-0.029646230148042328,0.18805921282560872,0.056212662562474786,0.005167867838905947,-0.09154022621625753,-0.2072952391844236,0.03658140021166513,-0.1279736423342,-0.21356453911968779,-0.17314216228518395,-0.17319986541116816,-0.137061193413396,-0.16940470674533586,0.11532832404584176,0.1471212051444138,0.09416245081277258,0.07411542643057267,0.12793994654154076,-0.09214839687593263,-0.014248572941447428,-0.031168631966105517,-0.0628276163416779,-0.14325242189981055,0.0363131191429843,-0.15850918477058004,-0.19718217746213926,-0.042509440931242155,0.14338036324213396,-0.07337830305917666,0.06571075263013128,-0.030718038959318406,-0.050248303550788874,-0.09923329223737672,-0.3474518287981508,-0.15982595353227994,-0.33626558900671927,-0.08301987821767112,-0.05709944086509462,-0.014278224978658124,0.17330360109022014,-0.05810351886751468,0.10152291551637717,-0.008164204702753322,-0.003927886332339536,0.10409311067741901,-0.17776072152776443,-0.04820276932121782,-0.10907868005175822,0.14032356732665344,-0.03281896794739417,-0.013583078083309646,-0.0037857494104654773,0.04359328887295545,0.044320209424121175,0.02642395891427933,-0.08202537399547662,0.02093530222783751,0.04731459114196678,-0.09335931810889958,-0.1405705603263706,-0.12435781761286331,-0.031710487232788236
FFM_Extraversion,0.3419348859134002,0.1224257110913874,0.14127760621027366,0.08516938813162868,0.41985487365317636,-0.34816022290891907,-0.39342030073188755,-0.21481399282053792,1.0,0.2109547142857261,0.3253193801852151,-0.256392885167163,0.18689951173701772,-0.14045677242928237,-0.009019496691212828,-0.15092131929011587,-0.1315269777684987,0.16289991818325703,0.14052161362084006,0.2876746013569279,0.2261052966075407,0.18422067360108507,0.254060142498858,0.26661729300209164,0.2665751833801341,0.48515452273353066,0.285461394133265,0.03687315372940383,0.08083856539773221,0.027862129042711414,0.19079710501679847,0.09420386360057958,0.2872276074315563,0.045713307408531356,0.3989543183621829,0.30800629256348583,0.25706029959376575,-0.010098312358324115,0.25393365211054664,0.22234123130700417,0.39975775790151014,0.25158304005303694,0.3822050388382289,0.16779669327328736,0.002316918901154229,-0.02456941911968519,-0.1416315383491043,0.5763514372582605,0.4936853471296209,-0.009420840550997872,0.27703725829874914,0.09080303391101333,0.0730096047238255,0.05489036558256938,-0.13482311445744438,-0.18295815095476545,0.21459317228994604,0.09535832317481639,0.07754212335755398,0.010613902784460491,0.20746595368253645,0.15150004079798152,-0.060602769366697194,-0.11779658042086631,0.03853025366473044,-0.01870628719514225,0.14175514060264088,-0.16493433133314206,0.009532673801991739,-0.14122105016117498,-0.12312889597657373,0.056590666872812896,0.19548509542771908,0.12093271274712293,0.23560513593047747,0.10136346599939584
FFM_Agreeableness,0.12409192243379047,0.0363038202980717,-0.0664650069198332,0.004214389523268348,0.2451328435625009,-0.28030887588105907,-0.13892805140808112,-0.1669455704556991,0.2109547142857261,1.0,0.21302240986207777,-0.26297746163310515,-0.1328074490217329,-0.2659056194792537,-0.2605213765380214,-0.21699779310051243,-0.31534026639116697,-0.06517188178386264,-0.003129477006790747,0.17703621378124057,0.018509419836565042,0.03251412562477347,0.12826228429684172,0.08725161880208222,0.0873174987587965,-0.08877267223648513,0.1012754866555376,-0.0886456398899517,-0.09967737894329454,-0.07270512813468132,-0.050849714387786946,-0.0930209791850502,-0.031086915736384987,-0.046593895409974925,0.03034155835825294,-0.02264974213543987,0.007652012838774456,-0.11078881919116891,0.06773653606185556,-0.061962553599065766,-0.021024096599742824,-0.026925761335866622,-0.016075853959464526,0.3768088261168825,-0.1163467894153881,-0.17381827414975431,0.043661162987967864,0.20089522955295547,0.031614540452794646,0.24022655042512547,0.06420511700075679,0.006582908346260294,-0.06628878996089006,0.022582260407127266,-0.07489798613854295,-0.09992468903865788,0.20603797557995973,0.018886727796417525,-0.06110814705136537,0.033036337465941916,0.04777018912807722,-0.056551922743854226,-0.2729663434886879,-0.11902663943506887,-0.060423194755427234,-0.02933113723827736,0.021261222512503952,0.08473627910657867,0.09375883486772146,0.12695314717675893,0.1634522178522406,0.1879525620106705,0.31705704934336165,0.22273050842027078,0.11345430884484217,0.04587582956304407
