,device_id,date,battery_start,part_of_the_day
0,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,25,PART_3
1,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,73,PART_4
2,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,90,PART_4
3,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,92,PART_4
4,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,66,PART_1
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,51,PART_2
6,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,36,PART_2
7,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,28,PART_2
8,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,27,PART_2
9,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,27,PART_2
10,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,31,PART_2
11,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,31,PART_2
12,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,31,PART_2
13,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,PART_3
14,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,9,PART_3
15,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,55,PART_3
16,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,33,PART_3
17,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,56,PART_4
18,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,2,PART_1
19,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,72,PART_1
20,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,72,PART_1
21,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,66,PART_2
22,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,62,PART_2
23,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,62,PART_2
24,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,54,PART_2
25,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,70,PART_4
26,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,23,PART_2
27,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,38,PART_2
28,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,72,PART_2
29,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,65,PART_2
