,device_id,date,count,part_of_the_day
0,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,1,PART_1
1,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,1,PART_1
2,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,1,PART_2
3,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,1,PART_2
4,04833a47-4da4-493c-af58-403d88c27e63,2021-04-01,1,PART_3
5,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,1,PART_3
6,04833a47-4da4-493c-af58-403d88c27e63,2021-04-01,1,PART_4
7,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,1,PART_4
8,07048f64-6412-4699-a746-3fc687c33c95,2021-04-28,1,PART_1
9,07048f64-6412-4699-a746-3fc687c33c95,2021-04-17,1,PART_2
10,07048f64-6412-4699-a746-3fc687c33c95,2021-04-22,4,PART_2
11,07048f64-6412-4699-a746-3fc687c33c95,2021-05-13,7,PART_2
12,07048f64-6412-4699-a746-3fc687c33c95,2021-04-26,1,PART_3
13,07048f64-6412-4699-a746-3fc687c33c95,2021-05-09,4,PART_3
14,07048f64-6412-4699-a746-3fc687c33c95,2021-05-15,1,PART_3
15,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,1,PART_1
16,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,4,PART_1
17,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,2,PART_1
18,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,3,PART_1
19,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,3,PART_1
20,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,PART_2
21,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,1,PART_2
22,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,4,PART_2
23,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,2,PART_2
24,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,2,PART_2
25,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,2,PART_2
26,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,2,PART_2
27,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,4,PART_2
28,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,PART_3
29,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,4,PART_3
30,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-02,3,PART_3
31,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-03,3,PART_3
32,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-04,2,PART_3
33,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,2,PART_3
34,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,2,PART_3
35,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,9,PART_3
36,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,PART_4
