,device_id,date,call_type,call_duration,part_of_the_day
0,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,2,0,PART_3
1,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,2,69,PART_3
2,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,1,17,PART_3
3,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,1,19,PART_4
4,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,2,44,PART_4
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,1,2672,PART_2
6,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,502,PART_1
7,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,10,PART_1
8,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_2
9,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,20,PART_2
10,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_2
11,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,80,PART_2
12,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,21,PART_3
13,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,1,1606,PART_3
14,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,597,PART_3
15,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_3
16,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,542,PART_3
17,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,422,PART_3
18,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,312,PART_3
19,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,59,PART_3
20,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,9,PART_3
21,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,18,PART_3
22,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,463,PART_4
23,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_4
24,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_4
25,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,1,13,PART_3
26,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,0,PART_4
27,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,1782,PART_4
28,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,370,PART_1
29,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,15,PART_2
30,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_2
31,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_2
32,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_2
33,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,23,PART_3
34,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_3
35,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,16,PART_3
36,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,13,PART_3
37,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_3
38,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,0,PART_3
39,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,166,PART_3
40,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,97,PART_3
41,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,86,PART_3
42,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,126,PART_3
43,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,24,PART_3
44,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,22,PART_4
45,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,27,PART_2
46,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,45,PART_2
47,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,13,PART_2
