,device_id,date,call_type,counter,part_of_the_day
0,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,2,2,PART_3
1,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,1,1,PART_3
2,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,3,1,PART_3
3,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,1,1,PART_4
4,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,2,1,PART_4
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,1,1,PART_2
6,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,3,2,PART_1
7,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,1,PART_1
8,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,1,PART_1
9,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,3,2,PART_2
10,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,3,PART_2
11,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,1,PART_2
12,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,3,2,PART_3
13,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,3,PART_3
14,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,1,1,PART_3
15,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,6,PART_3
16,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,3,1,PART_4
17,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,4,PART_4
18,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,1,1,PART_3
19,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,1,PART_4
20,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,1,PART_1
21,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,3,1,PART_2
22,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,1,PART_2
23,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,3,PART_2
24,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,5,PART_3
25,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,3,4,PART_3
26,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,2,6,PART_3
27,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,1,PART_4
28,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,3,4,PART_1
29,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,3,PART_2
