,device_id,date,part_of_the_day,call_type,dis_trace
0,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,PART_2,1,2
1,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,PART_2,2,1
2,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,PART_4,2,1
3,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,PART_2,1,3
4,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,PART_2,2,2
5,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,PART_2,3,2
6,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,PART_2,1,1
7,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,PART_3,1,2
8,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,PART_4,1,1
9,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,PART_2,1,1
10,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,PART_2,2,1
11,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,PART_3,1,1
12,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,PART_3,2,1
13,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,PART_2,1,2
14,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,PART_3,1,1
15,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,PART_3,3,2
16,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_1,1,1
17,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_2,1,1
18,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_3,1,1
19,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_3,2,2
20,0bebba8c-9207-458f-a93d-5b6f4ec9357b,2021-04-11,PART_3,2,1
21,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_2,1,2
22,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_2,2,2
