,device_id,message_type,date,count_mes_type,part_of_the_day
0,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-09,1,PART_3
1,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2,2020-12-10,1,PART_2
2,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-10,3,PART_2
3,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-10,1,PART_2
4,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-10,1,PART_3
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-11,2,PART_2
6,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-11,1,PART_3
7,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-12,1,PART_2
8,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-12,2,PART_3
9,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-12,1,PART_4
10,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-13,2,PART_2
11,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-13,3,PART_2
12,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-13,4,PART_3
13,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-13,1,PART_3
14,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-14,1,PART_2
15,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-14,2,PART_3
16,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-14,2,PART_3
17,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-14,1,PART_4
18,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,1,2020-12-15,1,PART_2
19,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-15,1,PART_2
20,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-16,1,PART_1
21,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-16,1,PART_2
22,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-16,2,PART_3
23,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-22,1,PART_2
24,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-22,2,PART_3
25,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2020-12-23,2,PART_3
26,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2,2021-01-03,2,PART_4
27,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2021-01-04,1,PART_1
28,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2021-01-04,8,PART_2
29,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2021-01-05,1,PART_1
30,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-04,2,PART_2
31,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-04,1,PART_3
32,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,1,2021-01-06,2,PART_2
33,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-05,4,PART_3
34,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-06,2,PART_3
35,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-07,1,PART_3
36,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-08,1,PART_3
37,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-09,1,PART_4
38,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-10,1,PART_1
39,18aaeaaa-58e3-47d5-ab81-fef2063d340e,1,2021-01-10,2,PART_2
40,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-09,3,PART_2
41,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-09,3,PART_3
42,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-10,2,PART_1
43,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-10,1,PART_2
44,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-10,1,PART_3
45,9ef8f342-07f1-4884-8d5f-e321acc3031e,1,2021-02-10,1,PART_2
