,device_id,date,part_of_the_day,dis_trace
0,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-18,PART_3,2
1,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,PART_1,1
2,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,PART_3,2
3,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,PART_2,4
4,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,PART_3,1
5,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,PART_2,1
6,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-05,PART_3,4
7,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,PART_2,1
8,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-06,PART_3,1
9,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-07,PART_3,1
10,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_2,1
11,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-08,PART_3,1
12,09d4e452-e73a-4db4-849c-8ce40dd5a30b,2021-04-12,PART_1,1
13,09d4e452-e73a-4db4-849c-8ce40dd5a30b,2021-04-12,PART_2,1
14,0bebba8c-9207-458f-a93d-5b6f4ec9357b,2021-04-06,PART_2,2
15,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_2,1
16,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_1,1
17,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_2,3
18,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_2,3
19,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_3,2
20,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_4,1
21,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_2,1
22,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_4,1
23,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-07,PART_2,4
24,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-08,PART_2,1
25,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-08,PART_3,1
26,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-09,PART_2,3
27,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-11,PART_2,4
28,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-11,PART_3,1
29,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-12,PART_1,2
30,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-12,PART_2,3
31,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-12,PART_3,2
32,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,PART_2,1
33,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,PART_3,1
34,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,PART_1,1
35,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,PART_2,1
36,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,PART_3,3
37,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-05,PART_1,1
38,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-05,PART_2,3
39,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-05,PART_3,2
40,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-05,PART_4,1
41,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-06,PART_1,2
42,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-06,PART_2,3
43,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-06,PART_3,1
44,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-07,PART_1,2
45,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-07,PART_2,1
46,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-08,PART_1,1
47,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-08,PART_3,1
48,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-09,PART_2,1
49,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-10,PART_3,1
50,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-01,PART_3,1
51,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-02,PART_2,1
52,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-03,PART_2,1
53,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-04,PART_1,1
54,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-04,PART_2,1
55,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-04,PART_3,1
56,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-05,PART_1,1
57,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-05,PART_2,2
58,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-05,PART_3,1
59,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-06,PART_1,1
60,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-06,PART_2,1
61,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-06,PART_3,1
62,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-07,PART_1,1
63,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-07,PART_2,1
64,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-08,PART_2,1
65,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-08,PART_3,1
66,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-30,PART_2,3
67,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-30,PART_3,1
68,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,PART_1,3
69,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-01,PART_2,1
70,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-01,PART_3,1
71,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-02,PART_2,2
72,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-04,PART_1,1
73,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-04,PART_2,3
74,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-04,PART_3,1
75,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,PART_1,1
76,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,PART_2,1
77,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,PART_3,1
78,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,PART_4,1
79,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-06,PART_1,4
80,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-06,PART_2,4
81,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-07,PART_1,1
82,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-03,PART_1,1
83,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-04,PART_2,1
84,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-05,PART_1,3
85,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-05,PART_2,1
86,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-05,PART_3,2
87,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-05,PART_4,1
88,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-06,PART_2,1
89,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-06,PART_4,1
90,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-07,PART_1,1
91,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-07,PART_2,3
92,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-07,PART_4,1
93,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-08,PART_2,2
94,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-08,PART_3,2
95,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-08,PART_4,1
96,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-09,PART_2,2
97,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-04,PART_2,2
98,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-04,PART_3,1
99,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,PART_3,3
100,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,PART_3,2
101,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,PART_3,1
102,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-08,PART_3,1
103,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-09,PART_4,1
104,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-10,PART_1,1
105,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-10,PART_2,2
106,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-30,PART_3,2
107,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-31,PART_2,1
108,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-31,PART_3,1
109,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-01,PART_2,2
110,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-04,PART_2,2
111,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-05,PART_2,2
